code,family,name,category_id,category_name,first_page,printed_page,pages,label,context
AT05-008-20,AT05,Accessori inox per tendalino,accessori-inox,Accessori Inox,117,115,117,"AT05-008-20 - 22 mm  25 mm  30 mm  40 mm  SNODO A FORCELLA Acciaio inox AISI 316, per tubo Ø da 20mm a 4","o inox AISI 316 Ø35mm. OPENING JAW SLIDE In stainless steel Ø 35mm. Ø CODICE · CODE 20 mm AT05-008-20 22 mm AT05-008-22 25 mm AT05-008-25 30 mm AT05-008-30 40 mm AT05-008-40 SNODO A FORCELLA Acciaio inox AISI 316, per tubo Ø da 20mm a 40mm. JAW SLIDE"
AT05-008-22,AT05,Accessori inox per tendalino,accessori-inox,Accessori Inox,117,115,117,"AT05-008-22 - 25 mm  30 mm  40 mm  SNODO A FORCELLA Acciaio inox AISI 316, per tubo Ø da 20mm a 40mm. JA","5mm. OPENING JAW SLIDE In stainless steel Ø 35mm. Ø CODICE · CODE 20 mm AT05-008-20 22 mm AT05-008-22 25 mm AT05-008-25 30 mm AT05-008-30 40 mm AT05-008-40 SNODO A FORCELLA Acciaio inox AISI 316, per tubo Ø da 20mm a 40mm. JAW SLIDE AISI 316 stainless"
AT05-008-25,AT05,Accessori inox per tendalino,accessori-inox,Accessori Inox,117,115,117,"AT05-008-25 - 30 mm  40 mm  SNODO A FORCELLA Acciaio inox AISI 316, per tubo Ø da 20mm a 40mm. JAW SLIDE","LIDE In stainless steel Ø 35mm. Ø CODICE · CODE 20 mm AT05-008-20 22 mm AT05-008-22 25 mm AT05-008-25 30 mm AT05-008-30 40 mm AT05-008-40 SNODO A FORCELLA Acciaio inox AISI 316, per tubo Ø da 20mm a 40mm. JAW SLIDE AISI 316 stainless steel, for tube f"
AT05-008-30,AT05,Accessori inox per tendalino,accessori-inox,Accessori Inox,117,115,117,"AT05-008-30 - 40 mm  SNODO A FORCELLA Acciaio inox AISI 316, per tubo Ø da 20mm a 40mm. JAW SLIDE AISI 3","steel Ø 35mm. Ø CODICE · CODE 20 mm AT05-008-20 22 mm AT05-008-22 25 mm AT05-008-25 30 mm AT05-008-30 40 mm AT05-008-40 SNODO A FORCELLA Acciaio inox AISI 316, per tubo Ø da 20mm a 40mm. JAW SLIDE AISI 316 stainless steel, for tube from Ø20 to 40mm. Ø"
AT05-008-40,AT05,Accessori inox per tendalino,accessori-inox,Accessori Inox,117,115,117,"AT05-008-40 - SNODO A FORCELLA Acciaio inox AISI 316, per tubo Ø da 20mm a 40mm. JAW SLIDE AISI 316 stai","DICE · CODE 20 mm AT05-008-20 22 mm AT05-008-22 25 mm AT05-008-25 30 mm AT05-008-30 40 mm AT05-008-40 SNODO A FORCELLA Acciaio inox AISI 316, per tubo Ø da 20mm a 40mm. JAW SLIDE AISI 316 stainless steel, for tube from Ø20 to 40mm. Ø CODICE · CODE 22"
AT05-009,AT05,Accessori inox per tendalino,accessori-inox,Accessori Inox,116,114,116,"AT05-009 - 25 mm  SUPPORTO A FORCELLA PIATTO CON VITE In acciaio inox AISI 316, per installazione ten","· CODE AT05-020 Ø CODICE · CODE 22 mm AT05-012-22 25 mm AT05-012-25 Ø CODICE · CODE 22 mm AT05-009 25 mm AT05-010 SUPPORTO A FORCELLA PIATTO CON VITE In acciaio inox AISI 316, per installazione tendalino su superficie piana. FLAT DECK HINGE WITH SC"
AT05-010,AT05,Accessori inox per tendalino,accessori-inox,Accessori Inox,116,114,116,"AT05-010 - SUPPORTO A FORCELLA PIATTO CON VITE In acciaio inox AISI 316, per installazione tendalino","Ø CODICE · CODE 22 mm AT05-012-22 25 mm AT05-012-25 Ø CODICE · CODE 22 mm AT05-009 25 mm AT05-010 SUPPORTO A FORCELLA PIATTO CON VITE In acciaio inox AISI 316, per installazione tendalino su superficie piana. FLAT DECK HINGE WITH SCREW AISI 316 st"
AT05-012-22,AT05,Accessori inox per tendalino,accessori-inox,Accessori Inox,116,114,116,AT05-012-22 - 25 mm  Ø CODICE · CODE 22 mm  25 mm  SUPPORTO A FORCELLA PIATTO CON VITE In acciaio inox A,"ODICE · CODE AT05-024 CODICE · CODE AT05-019 CODICE · CODE AT05-020 Ø CODICE · CODE 22 mm AT05-012-22 25 mm AT05-012-25 Ø CODICE · CODE 22 mm AT05-009 25 mm AT05-010 SUPPORTO A FORCELLA PIATTO CON VITE In acciaio inox AISI 316, per installazione tenda"
AT05-012-25,AT05,Accessori inox per tendalino,accessori-inox,Accessori Inox,116,114,116,AT05-012-25 - Ø CODICE · CODE 22 mm  25 mm  SUPPORTO A FORCELLA PIATTO CON VITE In acciaio inox AISI 316,"024 CODICE · CODE AT05-019 CODICE · CODE AT05-020 Ø CODICE · CODE 22 mm AT05-012-22 25 mm AT05-012-25 Ø CODICE · CODE 22 mm AT05-009 25 mm AT05-010 SUPPORTO A FORCELLA PIATTO CON VITE In acciaio inox AISI 316, per installazione tendalino su superficie"
AT05-013-22,AT05,Accessori inox per tendalino,accessori-inox,Accessori Inox,118,116,118,AT05-013-22 - 25 mm  30 mm  40 mm  Ø CODICE · CODE 22 mm  25 mm  30 mm  Ø CODICE · CODE 6 mm,116 <<<< Ø CODICE · CODE 22 mm AT05-013-22 25 mm AT05-013-25 30 mm AT05-013-30 40 mm AT05-013-40 Ø CODICE · CODE 22 mm AT05-016-22 25 mm AT05-016-25 30 mm AT05-016-30 Ø CODICE · CODE 6 mm AT05
AT05-013-25,AT05,Accessori inox per tendalino,accessori-inox,Accessori Inox,118,116,118,AT05-013-25 - 30 mm  40 mm  Ø CODICE · CODE 22 mm  25 mm  30 mm  Ø CODICE · CODE 6 mm  Ø CODICE · CO,116 <<<< Ø CODICE · CODE 22 mm AT05-013-22 25 mm AT05-013-25 30 mm AT05-013-30 40 mm AT05-013-40 Ø CODICE · CODE 22 mm AT05-016-22 25 mm AT05-016-25 30 mm AT05-016-30 Ø CODICE · CODE 6 mm AT05-026 Ø CODICE · CO
AT05-013-30,AT05,Accessori inox per tendalino,accessori-inox,Accessori Inox,118,116,118,AT05-013-30 - 40 mm  Ø CODICE · CODE 22 mm  25 mm  30 mm  Ø CODICE · CODE 6 mm  Ø CODICE · CODE 20 mm,116 <<<< Ø CODICE · CODE 22 mm AT05-013-22 25 mm AT05-013-25 30 mm AT05-013-30 40 mm AT05-013-40 Ø CODICE · CODE 22 mm AT05-016-22 25 mm AT05-016-25 30 mm AT05-016-30 Ø CODICE · CODE 6 mm AT05-026 Ø CODICE · CODE 20 mm AT05-015-
AT05-013-40,AT05,Accessori inox per tendalino,accessori-inox,Accessori Inox,118,116,118,AT05-013-40 - Ø CODICE · CODE 22 mm  25 mm  30 mm  Ø CODICE · CODE 6 mm  Ø CODICE · CODE 20 mm  22 mm,116 <<<< Ø CODICE · CODE 22 mm AT05-013-22 25 mm AT05-013-25 30 mm AT05-013-30 40 mm AT05-013-40 Ø CODICE · CODE 22 mm AT05-016-22 25 mm AT05-016-25 30 mm AT05-016-30 Ø CODICE · CODE 6 mm AT05-026 Ø CODICE · CODE 20 mm AT05-015-20 22 mm AT05-015-
AT05-014-22,AT05,Accessori inox per tendalino,accessori-inox,Accessori Inox,118,116,118,AT05-014-22 - 25 mm  Ø CODICE · CODE 22-25 mm  Ø CODICE · CODE 25 mm  ACCESSORI PER TENDALINO | ACCESSOR,In acciaio inox 316 Ø 25mm. FORK END CAP In Ø 25mm stainless steel. Ø CODICE · CODE 22 mm AT05-014-22 25 mm AT05-014-25 Ø CODICE · CODE 22-25 mm AT05-027 Ø CODICE · CODE 25 mm AT05-032 ACCESSORI PER TENDALINO | ACCESSORIES FOR BIMINI TOP ACCESSORI INO
